479,09/23/2019,18:13:20,58.858859590240364
480,09/23/2019,18:13:21,52.884589822433036
481,09/23/2019,18:13:22,54.727769492870216
482,09/23/2019,18:13:23,62.58063272987693
483,09/23/2019,18:13:24,59.9745791007609
484,09/23/2019,18:13:25,60.906391945659344
485,09/23/2019,18:13:26,61.503563978167456
486,09/23/2019,18:13:27,58.42782861884168
487,09/23/2019,18:13:28,54.114397610015246
488,09/23/2019,18:13:29,51.01599770456167
489,09/23/2019,18:13:30,63.844005786926616
490,09/23/2019,18:13:31,60.065763577512776
491,09/23/2019,18:13:32,59.32701844018524
492,09/23/2019,18:13:33,62.1160388921861
493,09/23/2019,18:13:34,61.275586811749
494,09/23/2019,18:13:35,70.23172082386739
495,09/23/2019,18:13:36,69.30352414001223
496,09/23/2019,18:13:37,67.93122501429201
497,09/23/2019,18:13:38,69.00481134398012
498,09/23/2019,18:13:39,71.26467958131006
499,09/23/2019,18:13:40,70.83394826589456
500,09/23/2019,18:13:41,61.234413774938886
501,09/23/2019,18:13:42,66.57654660644401
502,09/23/2019,18:13:43,66.39029563686935
503,09/23/2019,18:13:44,48.30570060476262
504,09/23/2019,18:13:45,61.524219978715884
505,09/23/2019,18:13:46,67.57796840160934
506,09/23/2019,18:13:47,66.72019692968917
507,09/23/2019,18:13:48,56.471595007418976
508,09/23/2019,18:13:49,64.69900397609408
509,09/23/2019,18:13:50,61.45437261656237
510,09/23/2019,18:13:51,63.3636779692776
511,09/23/2019,18:13:52,50.10951801963678
512,09/23/2019,18:13:53,56.24486045407737
513,09/23/2019,18:13:54,69.37104615870737
514,09/23/2019,18:13:55,63.46908284827239
515,09/23/2019,18:13:56,56.36349664993166
516,09/23/2019,18:13:57,68.49011376058847
517,09/23/2019,18:13:58,37.990891822523615
518,09/23/2019,18:13:59,75.12477289387539
519,09/23/2019,18:14:00,70.84472541960211
520,09/23/2019,18:14:01,61.03813397445363
521,09/23/2019,18:14:02,81.71870383476383
522,09/23/2019,18:14:03,60.1228316789525
523,09/23/2019,18:14:04,65.11882527903322
524,09/23/2019,18:14:05,65.50327818896773
525,09/23/2019,18:14:06,70.5000182047071
526,09/23/2019,18:14:07,71.7183293974626
527,09/23/2019,18:14:08,46.07345438867543
528,09/23/2019,18:14:09,54.14001464669215
529,09/23/2019,18:14:10,44.975821492473656
530,09/23/2019,18:14:11,58.77372367308831
531,09/23/2019,18:14:12,64.46796176103739
532,09/23/2019,18:14:13,56.09153462096962
533,09/23/2019,18:14:14,65.03907372346171
534,09/23/2019,18:14:15,37.092319217639954
535,09/23/2019,18:14:16,56.71644276931347
536,09/23/2019,18:14:17,44.29163001099204
537,09/23/2019,18:14:18,63.22583633787421
538,09/23/2019,18:14:19,83.42362636992155
539,09/23/2019,18:14:20,62.86442918597458
540,09/23/2019,18:14:21,69.31836865051784
541,09/23/2019,18:14:22,55.38824215738636
542,09/23/2019,18:14:23,80.08515757482405
543,09/23/2019,18:14:24,67.81138785758873
544,09/23/2019,18:14:25,63.28712144249838
545,09/23/2019,18:14:26,61.30770711984725
546,09/23/2019,18:14:27,62.11892531830869
547,09/23/2019,18:14:28,53.32079783923614
548,09/23/2019,18:14:29,51.36619189316282
549,09/23/2019,18:14:30,55.6944796738259
550,09/23/2019,18:14:31,61.69354006607314
551,09/23/2019,18:14:32,39.770591919661975
552,09/23/2019,18:14:33,85.54258228147813
553,09/23/2019,18:14:34,87.1161312638814
554,09/23/2019,18:14:35,62.167166965703565
555,09/23/2019,18:14:36,57.04073840501845
556,09/23/2019,18:14:37,45.781524192791885
557,09/23/2019,18:14:38,67.36429861299749
558,09/23/2019,18:14:39,51.4857233140185
559,09/23/2019,18:14:40,58.83106698305557
560,09/23/2019,18:14:41,55.66158623648312
561,09/23/2019,18:14:42,61.63681503847364
562,09/23/2019,18:14:43,57.13899489065979
563,09/23/2019,18:14:44,58.783382181382464
564,09/23/2019,18:14:45,53.66996066705115
565,09/23/2019,18:14:46,57.753685884968945
566,09/23/2019,18:14:47,50.150606754940206
567,09/23/2019,18:14:48,44.06863470107471
568,09/23/2019,18:14:49,48.08847636376749
569,09/23/2019,18:14:50,57.282233595239276
570,09/23/2019,18:14:51,64.89247161588828
571,09/23/2019,18:14:52,72.43256861438365
572,09/23/2019,18:14:53,67.8898511508242
573,09/23/2019,18:14:54,73.70368084478362
574,09/23/2019,18:14:55,63.163447674074924
575,09/23/2019,18:14:56,53.08775078066616
576,09/23/2019,18:14:57,72.5968935397172
577,09/23/2019,18:14:58,65.75579400816963
578,09/23/2019,18:14:59,55.09187005550472
579,09/23/2019,18:15:00,54.02949762482797
580,09/23/2019,18:15:01,61.11255526963476
581,09/23/2019,18:15:02,60.251225045690404
582,09/23/2019,18:15:03,61.06782028746206
583,09/23/2019,18:15:04,64.52638309465098
584,09/23/2019,18:15:05,45.3980519139737
585,09/23/2019,18:15:06,65.86442042386105
586,09/23/2019,18:15:07,69.11775830650778
587,09/23/2019,18:15:08,51.0438935746471
588,09/23/2019,18:15:09,48.68284302343933
589,09/23/2019,18:15:10,46.960650163043155
590,09/23/2019,18:15:11,52.984652963590115
591,09/23/2019,18:15:12,44.976512709773225
592,09/23/2019,18:15:13,40.82742567143339
593,09/23/2019,18:15:14,47.1505108114845
594,09/23/2019,18:15:15,56.70759555089443
595,09/23/2019,18:15:16,58.13616878864534
596,09/23/2019,18:15:17,56.641297337252084
597,09/23/2019,18:15:18,51.55695872904286
598,09/23/2019,18:15:19,48.9537848412069
599,09/23/2019,18:15:20,50.388348889303614
600,09/23/2019,18:15:21,60.78979782303179
601,09/23/2019,18:15:22,60.704800744551676
602,09/23/2019,18:15:23,56.483665300893996
603,09/23/2019,18:15:24,53.96744644304447
604,09/23/2019,18:15:25,61.971505222351844
605,09/23/2019,18:15:26,53.22453146381535
606,09/23/2019,18:15:27,58.58009762954757
607,09/23/2019,18:15:28,61.92961706739514
