,#lat,long,speed,altitude,time
23.49878978,87.30973622,6.21999979019165,18.0,09/23/2019 18:12:57,
23.49880755,87.3096585,6.789999961853027,18.0,09/23/2019 18:12:58,
23.49883737,87.30960107,6.630000114440918,17.0,09/23/2019 18:12:59,
23.49887011,87.30951094,7.460000038146973,16.0,09/23/2019 18:13:01,
23.49889862,87.30943864,7.570000171661378,15.0,09/23/2019 18:13:01,
23.49892669,87.30936885,7.5,17.0,09/23/2019 18:13:02,
23.49896086,87.30929846,7.570000171661378,18.0,09/23/2019 18:13:03,
23.49899997,87.3092128,8.409999847412111,17.0,09/23/2019 18:13:04,
23.49902567,87.30912953,8.390000343322754,17.0,09/23/2019 18:13:05,
23.49905388,87.30904843,8.600000381469728,18.0,09/23/2019 18:13:06,
23.49908695,87.30895891,8.420000076293945,18.0,09/23/2019 18:13:07,
23.49911799,87.30887617,8.449999809265138,19.0,09/23/2019 18:13:08,
23.49915037,87.30880761,7.96999979019165,18.0,09/23/2019 18:13:09,
23.49917691,87.30872983,8.079999923706055,18.0,09/23/2019 18:13:10,
23.49920564,87.30865541,8.010000228881836,19.0,09/23/2019 18:13:11,
23.49923315,87.30858286,7.960000038146973,18.0,09/23/2019 18:13:12,
23.49926233,87.30850877,8.489999771118164,18.0,09/23/2019 18:13:13,
23.49929,87.30844018,7.820000171661378,18.0,09/23/2019 18:13:14,
23.49931492,87.30836587,7.820000171661378,20.0,09/23/2019 18:13:15,
23.49934467,87.30828979,7.9099998474121085,21.0,09/23/2019 18:13:16,
23.49936571,87.30820694,8.210000038146973,22.0,09/23/2019 18:13:17,
23.49939363,87.30814107,8.25,22.0,09/23/2019 18:13:18,
23.49941575,87.30805459999999,8.270000457763674,23.0,09/23/2019 18:13:19,
23.49944641,87.30797982,8.220000267028809,24.0,09/23/2019 18:13:20,
23.49946913,87.30789637,8.069999694824219,24.0,09/23/2019 18:13:21,
23.49950189,87.30782501,8.119999885559082,24.0,09/23/2019 18:13:22,
23.49952422,87.30773976,8.720000267028809,25.0,09/23/2019 18:13:23,
23.49954216,87.30765699,9.06999969482422,25.0,09/23/2019 18:13:24,
23.49956765,87.30757668,8.970000267028809,26.0,09/23/2019 18:13:25,
23.49959345,87.30750631,9.09000015258789,27.0,09/23/2019 18:13:26,
23.4996246,87.30741436,9.390000343322754,27.0,09/23/2019 18:13:27,
23.4996511,87.30732856,9.239999771118164,27.0,09/23/2019 18:13:28,
23.49967634,87.30723369,9.699999809265137,27.0,09/23/2019 18:13:29,
23.49970515,87.3071645,8.90999984741211,27.0,09/23/2019 18:13:30,
23.49973301,87.30707285,9.039999961853027,25.0,09/23/2019 18:13:31,
23.49977065,87.30698848,8.960000038146973,24.0,09/23/2019 18:13:32,
23.49980419,87.30690835,8.899999618530273,23.0,09/23/2019 18:13:33,
23.4998332,87.30682861,8.449999809265138,22.0,09/23/2019 18:13:34,
23.49986219,87.30675235,8.760000228881836,22.0,09/23/2019 18:13:35,
23.49989231,87.30667362,8.560000419616701,22.0,09/23/2019 18:13:36,
23.49992033,87.30659666,8.390000343322754,22.0,09/23/2019 18:13:37,
23.49994282,87.30651571,7.989999771118164,23.0,09/23/2019 18:13:38,
23.49996393,87.30643853,7.880000114440918,23.0,09/23/2019 18:13:39,
23.49998575,87.30636222,7.9000000953674325,24.0,09/23/2019 18:13:40,
23.49998506,87.3063011,6.690000057220459,24.0,09/23/2019 18:13:41,
23.49997818,87.30624758,6.639999866485597,24.0,09/23/2019 18:13:42,
23.49997055,87.30618504,6.25,24.0,09/23/2019 18:13:43,
23.49995404,87.30611997,6.5900001525878915,25.0,09/23/2019 18:13:44,
23.49994445,87.30606376,6.019999980926514,25.0,09/23/2019 18:13:45,
23.49994491,87.30600524,6.1599998474121085,25.0,09/23/2019 18:13:46,
23.49994889,87.30597759,4.599999904632568,25.0,09/23/2019 18:13:47,
23.49996345,87.30594123,4.570000171661377,26.0,09/23/2019 18:13:48,
23.50000076,87.3059028,4.519999980926514,27.0,09/23/2019 18:13:49,
23.50003245,87.30587391,4.1599998474121085,28.0,09/23/2019 18:13:50,
23.50006533,87.30586812,3.9300000667572017,27.0,09/23/2019 18:13:51,
23.50009633,87.30586682,3.630000114440918,30.0,09/23/2019 18:13:52,
23.50013225,87.30586677,3.650000095367432,29.0,09/23/2019 18:13:53,
23.50016617,87.30586483,3.4200000762939453,28.0,09/23/2019 18:13:54,
23.50019652,87.30586826,3.640000104904175,28.0,09/23/2019 18:13:55,
23.5002152,87.30587124,2.0799999237060547,27.0,09/23/2019 18:13:56,
23.50022685,87.30586716,0.9900000095367432,26.0,09/23/2019 18:13:57,Bus Stop_3+
23.50023729,87.30586484,0.9900000095367432,26.0,09/23/2019 18:13:58,Bus Stop_3+
23.50024618,87.30586898,0.4600000083446503,25.0,09/23/2019 18:13:59,Bus Stop_3+
23.50025276,87.30587772,0.17000000178813934,24.0,09/23/2019 18:14:00,Bus Stop_3+
