,0,1,2,3
243,10:62:eb:28:db:f9,SBSTC BUS STAND,-87,09/23/2019 18:05:58
244,64:db:43:33:57:a4,Lenovo VIBE K5,-88,09/23/2019 18:05:58
245,50:8f:4c:99:3d:4d,ashis,-95,09/23/2019 18:05:58
246,70:df:2f:b0:47:40,RailWire Wi-Fi,-72,09/23/2019 18:05:58
247,70:4f:57:6e:b7:3d,TP-Link_B73D,-94,09/23/2019 18:05:58
248,a8:6b:ad:96:e7:17,JioFi3_96E717,-92,09/23/2019 18:05:58
249,64:d1:54:6a:3c:26,RAILWIRE EAST,-76,09/23/2019 18:05:58
250,64:d1:54:2d:d3:35,Haldiya Steels,-79,09/23/2019 18:05:59
251,90:f0:52:76:03:6f,meizu C9,-94,09/23/2019 18:05:59
252,64:d1:54:97:e7:ef,RAILWIRE 2 DGR West,-82,09/23/2019 18:05:59
253,58:d5:6e:6d:98:10,N Pal lottery,-73,09/23/2019 18:05:59
254,10:62:eb:28:db:f9,SBSTC BUS STAND,-87,09/23/2019 18:05:59
255,64:db:43:33:57:a4,Lenovo VIBE K5,-91,09/23/2019 18:05:59
256,50:8f:4c:99:3d:4d,ashis,-95,09/23/2019 18:05:59
257,70:df:2f:b0:47:40,RailWire Wi-Fi,-72,09/23/2019 18:05:59
258,70:4f:57:6e:b7:3d,TP-Link_B73D,-94,09/23/2019 18:05:59
259,a8:6b:ad:96:e7:17,JioFi3_96E717,-92,09/23/2019 18:05:59
260,64:d1:54:6a:3c:26,RAILWIRE EAST,-76,09/23/2019 18:05:59
261,bc:2f:3d:cf:32:4b,Juneka,-92,09/23/2019 18:05:59
262,70:df:2f:b0:47:4f,RailWire Wi-Fi,-90,09/23/2019 18:05:59
263,64:d1:54:2d:d3:35,Haldiya Steels,-79,09/23/2019 18:06:00
264,90:f0:52:76:03:6f,meizu C9,-94,09/23/2019 18:06:00
265,64:d1:54:97:e7:ef,RAILWIRE 2 DGR West,-82,09/23/2019 18:06:00
266,58:d5:6e:6d:98:10,N Pal lottery,-73,09/23/2019 18:06:00
267,10:62:eb:28:db:f9,SBSTC BUS STAND,-87,09/23/2019 18:06:00
268,64:db:43:33:57:a4,Lenovo VIBE K5,-91,09/23/2019 18:06:00
269,50:8f:4c:99:3d:4d,ashis,-95,09/23/2019 18:06:00
270,70:df:2f:b0:47:40,RailWire Wi-Fi,-72,09/23/2019 18:06:00
271,70:4f:57:6e:b7:3d,TP-Link_B73D,-94,09/23/2019 18:06:00
272,a8:6b:ad:96:e7:17,JioFi3_96E717,-92,09/23/2019 18:06:00
273,64:d1:54:6a:3c:26,RAILWIRE EAST,-76,09/23/2019 18:06:00
274,bc:2f:3d:cf:32:4b,Juneka,-92,09/23/2019 18:06:00
275,70:df:2f:b0:47:4f,RailWire Wi-Fi,-90,09/23/2019 18:06:00
276,64:d1:54:2d:d3:35,Haldiya Steels,-81,09/23/2019 18:06:01
277,90:f0:52:76:03:6f,meizu C9,-94,09/23/2019 18:06:01
278,64:d1:54:97:e7:ef,RAILWIRE 2 DGR West,-79,09/23/2019 18:06:01
279,58:d5:6e:6d:98:10,N Pal lottery,-73,09/23/2019 18:06:01
280,10:62:eb:28:db:f9,SBSTC BUS STAND,-89,09/23/2019 18:06:01
281,64:db:43:33:57:a4,Lenovo VIBE K5,-89,09/23/2019 18:06:01
282,50:8f:4c:99:3d:4d,ashis,-92,09/23/2019 18:06:01
283,70:df:2f:b0:47:40,RailWire Wi-Fi,-73,09/23/2019 18:06:01
284,70:4f:57:6e:b7:3d,TP-Link_B73D,-94,09/23/2019 18:06:01
285,a8:6b:ad:96:e7:17,JioFi3_96E717,-92,09/23/2019 18:06:01
286,64:d1:54:6a:3c:26,RAILWIRE EAST,-76,09/23/2019 18:06:01
287,bc:2f:3d:cf:32:4b,Juneka,-94,09/23/2019 18:06:01
288,70:df:2f:b0:47:4f,RailWire Wi-Fi,-90,09/23/2019 18:06:01
289,64:d1:54:2d:d3:35,Haldiya Steels,-84,09/23/2019 18:06:03
290,90:f0:52:76:03:6f,meizu C9,-94,09/23/2019 18:06:03
291,64:d1:54:97:e7:ef,RAILWIRE 2 DGR West,-79,09/23/2019 18:06:03
292,10:62:eb:28:db:f9,SBSTC BUS STAND,-89,09/23/2019 18:06:03
293,64:db:43:33:57:a4,Lenovo VIBE K5,-90,09/23/2019 18:06:03
294,50:8f:4c:99:3d:4d,ashis,-92,09/23/2019 18:06:03
295,70:df:2f:b0:47:40,RailWire Wi-Fi,-74,09/23/2019 18:06:03
296,64:d1:54:6a:3c:26,RAILWIRE EAST,-76,09/23/2019 18:06:03
297,bc:2f:3d:cf:32:4b,Juneka,-94,09/23/2019 18:06:03
298,70:df:2f:b0:47:4f,RailWire Wi-Fi,-90,09/23/2019 18:06:03
299,64:d1:54:2d:d3:35,Haldiya Steels,-84,09/23/2019 18:06:04
300,90:f0:52:76:03:6f,meizu C9,-94,09/23/2019 18:06:04
301,64:d1:54:97:e7:ef,RAILWIRE 2 DGR West,-79,09/23/2019 18:06:04
302,10:62:eb:28:db:f9,SBSTC BUS STAND,-89,09/23/2019 18:06:04
303,64:db:43:33:57:a4,Lenovo VIBE K5,-91,09/23/2019 18:06:04
304,50:8f:4c:99:3d:4d,ashis,-94,09/23/2019 18:06:04
305,70:df:2f:b0:47:40,RailWire Wi-Fi,-74,09/23/2019 18:06:04
306,64:d1:54:6a:3c:26,RAILWIRE EAST,-76,09/23/2019 18:06:04
307,bc:2f:3d:cf:32:4b,Juneka,-94,09/23/2019 18:06:04
308,70:df:2f:b0:47:4f,RailWire Wi-Fi,-90,09/23/2019 18:06:04
309,64:d1:54:2d:d3:35,Haldiya Steels,-84,09/23/2019 18:06:05
310,90:f0:52:76:03:6f,meizu C9,-94,09/23/2019 18:06:05
311,64:d1:54:97:e7:ef,RAILWIRE 2 DGR West,-79,09/23/2019 18:06:05
312,10:62:eb:28:db:f9,SBSTC BUS STAND,-89,09/23/2019 18:06:05
313,64:db:43:33:57:a4,Lenovo VIBE K5,-91,09/23/2019 18:06:05
314,50:8f:4c:99:3d:4d,ashis,-94,09/23/2019 18:06:05
315,70:df:2f:b0:47:40,RailWire Wi-Fi,-74,09/23/2019 18:06:05
316,64:d1:54:6a:3c:26,RAILWIRE EAST,-76,09/23/2019 18:06:05
317,bc:2f:3d:cf:32:4b,Juneka,-94,09/23/2019 18:06:05
318,70:df:2f:b0:47:4f,RailWire Wi-Fi,-90,09/23/2019 18:06:05
319,64:d1:54:2d:d3:35,Haldiya Steels,-81,09/23/2019 18:06:06
320,90:f0:52:76:03:6f,meizu C9,-94,09/23/2019 18:06:06
321,64:d1:54:97:e7:ef,RAILWIRE 2 DGR West,-78,09/23/2019 18:06:06
322,10:62:eb:28:db:f9,SBSTC BUS STAND,-93,09/23/2019 18:06:06
323,64:db:43:33:57:a4,Lenovo VIBE K5,-91,09/23/2019 18:06:06
324,50:8f:4c:99:3d:4d,ashis,-91,09/23/2019 18:06:06
325,70:df:2f:b0:47:40,RailWire Wi-Fi,-73,09/23/2019 18:06:06
326,64:d1:54:6a:3c:26,RAILWIRE EAST,-76,09/23/2019 18:06:06
